Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Omega-3 (g),Omega-6 (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g)
2017-10-26,"Coffee, Prepared From Grounds","2.00 large or venti - each 20 fl oz",11.84,0.00,473.60,1176.78,0.17,0.90,2.26,3.01,0.01,0.00,23.68,0.00,0.00,0.00,0.12,1.18,23.68,0.02,0.12,35.52,0.27,35.52,580.16,0.00,23.68,0.24,5.56,5.56,0.00,0.00,0.00,0.24,0.00,0.18,0.00,0.01,0.01,0.02,0.00,0.02,0.02,0.02,0.06,0.01,0.00,0.04,1.42,0.01,0.00,0.02,0.04
2017-10-26,"Chicken Breast, Skin Removed Before Cooking","1.07 cup",456.12,0.00,0.00,170.74,0.17,0.31,32.75,2.56,1.58,0.90,10.55,76.46,0.00,13.18,0.71,0.79,39.55,0.13,2.79,71.19,0.04,569.49,651.22,64.33,203.01,3.24,0.00,0.00,0.00,0.00,0.00,11.89,224.10,4.06,0.26,2.16,2.58,3.35,0.24,1.04,2.53,4.30,6.11,6.92,2.25,3.23,81.49,3.44,0.95,2.75,4.04
2017-10-26,"Broccoli, Cooked from Frozen","4.00 FDA Serving Size",95.20,0.00,0.00,308.45,0.19,0.28,1.56,0.93,0.44,0.00,190.40,3437.40,136.34,0.00,3.84,299.54,112.20,0.12,2.07,44.20,0.76,166.60,482.80,2.38,37.40,0.95,18.19,10.20,2.31,5.00,7.99,0.41,0.00,0.03,0.14,0.04,0.19,0.06,0.00,0.07,0.19,0.41,0.49,0.53,0.13,0.32,10.54,0.34,0.11,0.24,0.48
2017-10-26,"Sargento Foods Inc, Light String Cheese","2.00 PIECE",99.96,,,,,,,,,,,399.84,0.00,,,,299.88,,0.00,,,199.92,39.90,,320.04,,2.00,0.00,,0.00,2.00,5.00,20.16,,,,,3.00,0.00,,,,,,,,12.00,,,,
2017-10-26,"Asparagus, Cooked from Fresh","1.67 cup, cut pieces",66.00,0.00,0.00,277.89,0.49,0.42,3.25,0.68,0.24,0.00,447.00,3018.00,23.10,0.00,4.50,151.80,69.00,0.50,2.73,42.00,0.46,162.00,672.00,18.30,42.00,1.80,12.33,6.00,0.00,3.90,6.33,0.66,0.00,0.00,0.09,0.23,0.31,0.14,0.00,0.10,0.16,0.25,0.42,0.34,0.10,0.25,7.20,0.28,0.09,0.17,0.38
2017-10-26,"Morton, Salt Mixture, Lite","1.00 x 0.25 Teaspoon",0.00,0.00,,,,,,,,0.00,,,,,,,0.56,,,0.84,,,354.20,,275.80,,0.01,,,,0.01,0.01,,,,,,,,,,,,,,,0.00,,,,
2017-10-26,"Chia Seeds","2.00 tbsp, whole pieces",97.20,0.00,0.00,1.16,0.04,0.01,1.23,0.12,0.28,0.00,9.80,8.80,0.32,0.00,0.10,141.78,126.20,0.18,3.28,78.00,0.54,172.00,81.40,11.04,3.20,0.92,8.42,6.88,1.22,0.19,1.54,6.15,0.00,0.46,3.57,1.17,4.73,0.76,0.03,0.08,0.11,0.16,0.27,0.19,0.12,0.20,3.31,0.14,0.09,0.11,0.19
2017-10-26,"Dill Pickles","1.00 large - 4"" long",16.20,0.00,0.00,127.36,0.06,0.08,0.15,0.27,0.05,0.00,10.80,168.75,3.11,0.00,0.04,23.36,76.95,0.04,0.35,9.45,0.08,21.60,157.95,0.00,1092.15,0.14,3.25,1.35,0.46,1.44,1.90,0.41,0.00,0.01,0.09,0.07,0.16,0.11,0.00,0.01,0.01,0.03,0.04,0.04,0.01,0.02,0.68,0.02,0.01,0.01,0.03
2017-10-26,"Kimchi","2.65 cup, cut pieces",77.77,0.00,0.00,372.24,0.14,0.25,3.40,0.39,0.67,0.12,166.35,9917.11,148.47,0.00,0.58,146.99,287.31,0.21,2.84,57.74,0.58,149.10,844.28,2.89,674.41,0.78,11.64,3.34,1.81,5.16,8.30,1.42,0.00,0.19,0.39,0.23,0.62,0.26,0.00,0.09,0.16,0.36,0.49,0.48,0.11,0.25,7.36,0.27,0.08,0.19,0.35
2017-10-26,"Cheddar Cheese, Natural","1.20 stick - each 1 oz",137.44,0.00,0.00,12.59,0.01,0.15,0.02,0.14,0.02,0.37,9.19,422.52,0.00,8.16,0.24,0.82,241.54,0.01,0.05,9.19,0.01,154.79,25.85,9.70,222.15,1.24,1.05,0.00,0.00,0.16,1.05,11.33,33.68,2.81,0.05,0.42,0.48,6.42,0.31,0.04,0.19,0.41,0.66,0.35,0.19,0.37,7.78,0.36,0.19,0.38,0.48
2017-10-27,"Bulk Supplements, Creatine Monohydrate","5.00 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-27,"Centrum, Silver","1.00 Tablet",,,,,1.50,1.70,20.00,10.00,3.00,25.00,400.00,2500.00,60.00,1000.00,33.62,30.00,220.00,0.50,,50.00,2.30,20.00,80.00,19.00,,11.00,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-27,"Spring Valley, Magnesium Citrate","2.00 capsule",,,,,,,,,,,,,,,,,,,,200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-27,"Nature Made, Fish Oil 1200 mg","1.00 x 2.0 Softgels",35.00,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,3.00,25.00,0.50,0.72,,1.00,1.00,,,,,,,,,0.50,,,,
2017-10-27,"Tap Water","3.16 cup",0.00,0.00,0.00,749.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.50,0.08,0.00,7.50,0.00,0.00,0.00,0.00,30.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-10-27,"Coffee, Prepared From Grounds","1.00 large or venti - each 20 fl oz",5.92,0.00,236.80,588.39,0.08,0.45,1.13,1.50,0.01,0.00,11.84,0.00,0.00,0.00,0.06,0.59,11.84,0.01,0.06,17.76,0.14,17.76,290.08,0.00,11.84,0.12,2.78,2.78,0.00,0.00,0.00,0.12,0.00,0.09,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.03,0.01,0.00,0.02,0.71,0.01,0.00,0.01,0.02
2017-10-27,"Chicken Breast, Skin Removed Before Cooking","0.91 cup",387.45,0.00,0.00,145.04,0.15,0.26,27.82,2.18,1.34,0.76,8.96,64.95,0.00,11.20,0.60,0.67,33.59,0.11,2.37,60.47,0.04,483.76,553.18,54.65,172.45,2.75,0.00,0.00,0.00,0.00,0.00,10.10,190.37,3.45,0.22,1.84,2.19,2.84,0.20,0.89,2.15,3.66,5.19,5.88,1.91,2.75,69.23,2.92,0.81,2.34,3.43
2017-10-27,"Chicken Wing, Skin Eaten","6.00 medium",548.64,0.00,0.00,128.30,0.14,0.33,13.65,1.86,1.21,0.76,19.44,84.24,0.00,15.12,1.49,0.65,38.88,0.09,1.81,41.04,0.02,317.52,457.92,55.08,211.68,3.54,0.00,0.00,0.00,0.00,0.00,36.44,304.56,16.64,0.41,7.16,7.75,10.75,0.18,0.54,1.92,2.52,4.25,4.94,1.34,2.07,51.39,2.30,0.65,1.85,2.66
2017-10-27,"Louisiana Brand, Wing Sauce","5.00 Tbsp",50.25,,,,,,,,,,,2499.75,60.00,,,,0.00,,0.00,,,,,,2499.75,,5.00,,,,5.00,,,,,,,,,,,,,,,,0.00,,,,
2017-10-27,"Kale, Raw","0.50 cup, chopped",3.92,0.00,0.00,6.72,0.01,0.01,0.08,0.01,0.02,0.00,11.28,799.04,9.60,0.00,0.12,56.37,12.00,0.12,0.12,3.76,0.05,7.36,39.27,0.07,3.04,0.04,0.70,0.29,0.04,0.18,0.41,0.07,0.00,0.00,0.01,0.01,0.03,0.01,0.00,0.00,0.01,0.02,0.02,0.02,0.00,0.01,0.34,0.01,0.00,0.01,0.01
2017-10-27,"Cabbage, Green, Raw","0.50 cup, chopped",11.13,0.00,0.00,41.02,0.03,0.02,0.10,0.09,0.06,0.00,19.14,43.61,16.29,0.00,0.07,33.82,17.80,0.01,0.21,5.34,0.07,11.57,75.66,0.13,8.01,0.08,2.58,1.00,0.00,1.42,1.58,0.04,0.00,0.01,0.00,0.01,0.01,0.02,0.00,0.00,0.01,0.01,0.02,0.02,0.01,0.01,0.57,0.02,0.00,0.01,0.02
2017-10-27,"Kimchi","2.65 cup, cut pieces",77.75,0.00,0.00,372.14,0.14,0.25,3.40,0.39,0.67,0.12,166.31,9914.45,148.43,0.00,0.58,146.95,287.24,0.21,2.84,57.73,0.58,149.06,844.05,2.89,674.23,0.78,11.64,3.34,1.81,5.16,8.30,1.42,0.00,0.19,0.39,0.23,0.62,0.26,0.00,0.09,0.16,0.36,0.49,0.48,0.11,0.25,7.36,0.27,0.08,0.19,0.35
2017-10-27,"Colby Jack Cheese","0.90 stick - each 1 oz",97.85,0.00,0.00,10.11,0.00,0.10,0.02,0.05,0.02,0.21,4.59,224.91,0.00,5.87,0.07,0.66,182.56,0.01,0.19,6.76,0.00,114.95,26.54,3.70,153.60,0.77,0.41,0.00,0.00,0.13,0.41,7.96,23.47,2.30,0.07,0.17,0.24,5.01,0.20,0.03,0.22,0.38,0.59,0.51,0.16,0.32,6.15,0.22,0.08,0.30,0.41
2017-10-27,"Sargento Foods Inc, Light String Cheese","1.00 PIECE",49.98,,,,,,,,,,,199.92,0.00,,,,149.94,,0.00,,,99.96,19.95,,160.02,,1.00,0.00,,0.00,1.00,2.50,10.08,,,,,1.50,0.00,,,,,,,,6.00,,,,
2017-10-28,"Bulk Supplements, Creatine Monohydrate","5.00 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-28,"Centrum, Silver","1.00 Tablet",,,,,1.50,1.70,20.00,10.00,3.00,25.00,400.00,2500.00,60.00,1000.00,33.62,30.00,220.00,0.50,,50.00,2.30,20.00,80.00,19.00,,11.00,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-28,"Spring Valley, Magnesium Citrate","2.00 capsule",,,,,,,,,,,,,,,,,,,,200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-28,"Nature Made, Fish Oil 1200 mg","1.00 x 2.0 Softgels",35.00,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,3.00,25.00,0.50,0.72,,1.00,1.00,,,,,,,,,0.50,,,,
2017-10-28,"Tap Water","6.33 cup",0.00,0.00,0.00,1498.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,0.15,0.00,15.00,0.00,0.00,0.00,0.00,60.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-10-28,"Coffee, Prepared From Grounds","2.00 large or venti - each 20 fl oz",11.84,0.00,473.60,1176.78,0.17,0.90,2.26,3.01,0.01,0.00,23.68,0.00,0.00,0.00,0.12,1.18,23.68,0.02,0.12,35.52,0.27,35.52,580.16,0.00,23.68,0.24,5.56,5.56,0.00,0.00,0.00,0.24,0.00,0.18,0.00,0.01,0.01,0.02,0.00,0.02,0.02,0.02,0.06,0.01,0.00,0.04,1.42,0.01,0.00,0.02,0.04
2017-10-28,"Chicken Wing, Skin Eaten","7.00 medium",640.08,0.00,0.00,149.69,0.16,0.39,15.93,2.17,1.41,0.88,22.68,98.28,0.00,17.64,1.74,0.76,45.36,0.10,2.12,47.88,0.03,370.44,534.24,64.26,246.96,4.13,0.00,0.00,0.00,0.00,0.00,42.51,355.32,19.42,0.48,8.35,9.05,12.54,0.21,0.63,2.24,2.94,4.96,5.76,1.56,2.42,59.95,2.69,0.76,2.16,3.10
2017-10-28,"Louisiana Brand, Wing Sauce","5.00 Tbsp",50.25,,,,,,,,,,,2499.75,60.00,,,,0.00,,0.00,,,,,,2499.75,,5.00,,,,5.00,,,,,,,,,,,,,,,,0.00,,,,
2017-10-28,"Asparagus, Cooked from Fresh","3.00 FDA Serving Size",56.10,0.00,0.00,236.21,0.41,0.35,2.76,0.57,0.20,0.00,379.95,2565.30,19.63,0.00,3.82,129.03,58.65,0.42,2.32,35.70,0.39,137.70,571.20,15.56,35.70,1.53,10.48,5.10,0.00,3.32,5.38,0.56,0.00,0.00,0.07,0.19,0.27,0.12,0.00,0.09,0.14,0.21,0.36,0.29,0.09,0.21,6.12,0.23,0.07,0.15,0.32
2017-10-28,"Chicken Breast, Skin Removed Before Cooking","0.94 large - split",220.70,0.00,0.00,82.62,0.08,0.15,15.85,1.24,0.77,0.43,5.10,37.00,0.00,6.38,0.34,0.38,19.14,0.06,1.35,34.44,0.02,275.56,315.10,31.13,98.23,1.57,0.00,0.00,0.00,0.00,0.00,5.75,108.44,1.96,0.13,1.05,1.25,1.62,0.11,0.51,1.22,2.08,2.96,3.35,1.09,1.56,39.43,1.66,0.46,1.33,1.96
2017-10-28,"Sargento Foods Inc, Light String Cheese","2.00 PIECE",99.96,,,,,,,,,,,399.84,0.00,,,,299.88,,0.00,,,199.92,39.90,,320.04,,2.00,0.00,,0.00,2.00,5.00,20.16,,,,,3.00,0.00,,,,,,,,12.00,,,,
2017-10-28,"Kimchi","7.00 FDA Serving Size",116.56,0.00,0.00,557.88,0.21,0.38,5.10,0.59,1.00,0.18,249.32,14863.18,222.51,0.00,0.86,220.30,430.61,0.32,4.26,86.54,0.86,223.46,1265.35,4.34,1010.77,1.17,17.45,5.01,2.71,7.74,12.44,2.12,0.00,0.28,0.59,0.35,0.93,0.39,0.00,0.14,0.24,0.54,0.73,0.72,0.16,0.38,11.04,0.41,0.12,0.29,0.52
2017-10-28,"Morton, Salt Mixture, Lite","2.00 x 0.25 Teaspoon",0.01,0.00,,,,,,,,0.00,,,,,,,1.12,,,1.68,,,708.40,,551.60,,0.03,,,,0.03,0.03,,,,,,,,,,,,,,,0.00,,,,
2017-10-28,"Zucchini, Raw","1.00 medium",33.32,0.00,0.00,185.79,0.09,0.18,0.88,0.40,0.32,0.00,47.04,392.00,35.08,0.00,0.24,8.43,31.36,0.10,0.73,35.28,0.35,74.48,511.56,0.39,15.68,0.63,6.10,1.96,0.00,4.90,4.14,0.63,0.00,0.02,0.12,0.06,0.18,0.16,0.00,0.02,0.05,0.09,0.14,0.13,0.04,0.08,2.37,0.06,0.02,0.06,0.11
2017-10-29,"Bulk Supplements, Creatine Monohydrate","5.00 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-29,"Centrum, Silver","1.00 Tablet",,,,,1.50,1.70,20.00,10.00,3.00,25.00,400.00,2500.00,60.00,1000.00,33.62,30.00,220.00,0.50,,50.00,2.30,20.00,80.00,19.00,,11.00,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-29,"Spring Valley, Magnesium Citrate","2.00 capsule",,,,,,,,,,,,,,,,,,,,200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-29,"Nature Made, Fish Oil 1200 mg","1.00 x 2.0 Softgels",35.00,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,3.00,25.00,0.50,0.72,,1.00,1.00,,,,,,,,,0.50,,,,
2017-10-29,"Tap Water","6.33 cup",0.00,0.00,0.00,1498.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,0.15,0.00,15.00,0.00,0.00,0.00,0.00,60.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-10-29,"Coffee, Prepared From Grounds","1.00 large or venti - each 20 fl oz",5.92,0.00,236.80,588.39,0.08,0.45,1.13,1.50,0.01,0.00,11.84,0.00,0.00,0.00,0.06,0.59,11.84,0.01,0.06,17.76,0.14,17.76,290.08,0.00,11.84,0.12,2.78,2.78,0.00,0.00,0.00,0.12,0.00,0.09,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.03,0.01,0.00,0.02,0.71,0.01,0.00,0.01,0.02
2017-10-29,"Chicken Wing, Skin Eaten","5.00 medium",457.20,0.00,0.00,106.92,0.12,0.28,11.38,1.55,1.00,0.63,16.20,70.20,0.00,12.60,1.24,0.54,32.40,0.07,1.51,34.20,0.02,264.60,381.60,45.90,176.40,2.95,0.00,0.00,0.00,0.00,0.00,30.37,253.80,13.87,0.34,5.97,6.46,8.96,0.15,0.45,1.60,2.10,3.54,4.12,1.11,1.73,42.82,1.92,0.54,1.54,2.22
