Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Omega-3 (g),Omega-6 (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Daily Total Cals,Cals/100,Weight
10/25/2017,"Holland & Barrett, Magnesium Citrate 100 mg ",3.00 tablet,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1066.29,106.629,192.8
10/25/2017,"Centrum, Silver",1.00 Tablet,,,,,1.5,1.7,20,10,3,25,400,2500,60,1000,33.62,30,220,0.5,,50,2.3,20,80,19,,11,,,,,,,,,,,,,,,,,,,,,,,,,,1066.29,106.629,192.8
10/25/2017,"Spring Valley, Fish Oil, 1400 mg",2.00 Softgel,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,10,,1.8,,2,,,,,,,,,,,,,,,1066.29,106.629,192.8
10/25/2017,"Salt, Low Sodium or Lite",1.00 x 0.25 tsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0.79,0,0,325,0,243.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066.29,106.629,192.8
10/25/2017,"Chicken Breast, Skin Removed Before Cooking",1.62 cup,686.63,0,0,257.03,0.26,0.46,49.3,3.86,2.38,1.35,15.88,115.1,0,19.84,1.07,1.19,59.53,0.2,4.21,107.16,0.07,857.29,980.33,96.84,305.61,4.88,0,0,0,0,0,17.9,337.36,6.11,0.4,3.25,3.89,5.04,0.36,1.57,3.81,6.48,9.2,10.42,3.39,4.87,122.68,5.18,1.43,4.14,6.08,1066.29,106.629,192.8
10/25/2017,"Broccoli, Cooked from Frozen",4.00 FDA Serving Size,95.2,0,0,308.45,0.19,0.28,1.56,0.93,0.44,0,190.4,3437.4,136.34,0,3.84,299.54,112.2,0.12,2.07,44.2,0.76,166.6,482.8,2.38,37.4,0.95,18.19,10.2,2.31,5,7.99,0.41,0,0.03,0.14,0.04,0.19,0.06,0,0.07,0.19,0.41,0.49,0.53,0.13,0.32,10.54,0.34,0.11,0.24,0.48,1066.29,106.629,192.8
10/25/2017,"Morton, Sea Salt",5.60 g,0,,,,,,,,,,,,,,,,,,,,,,,,2279.98,,0,,,,0,0,,,,,,,,,,,,,,,0,,,,,1066.29,106.629,192.8
10/25/2017,"Jalapeno Pepper, Raw","1.00 large - approx 4"" - 6"" long",13.05,0,0,41.26,0.02,0.03,0.58,0.14,0.19,0,12.15,485.1,53.37,0,1.61,8.33,5.4,0.02,0.11,6.75,0.04,11.7,111.6,0.18,1.35,0.06,2.93,1.26,0,1.85,1.67,0.17,0,0.01,0.02,0.03,0.05,0.04,0,0.01,0.01,0.02,0.03,0.03,0.01,0.02,0.41,0.02,0.01,0.01,0.03,1066.29,106.629,192.8
10/25/2017,"Zucchini, Raw",1.00 large,54.91,0,0,306.17,0.15,0.3,1.46,0.66,0.53,0,77.52,646,57.82,0,0.39,13.89,51.68,0.17,1.2,58.14,0.57,122.74,843.03,0.65,25.84,1.03,10.05,3.23,0,8.08,6.82,1.03,0,0.04,0.2,0.1,0.29,0.27,0,0.04,0.08,0.14,0.23,0.22,0.06,0.14,3.91,0.09,0.03,0.1,0.17,1066.29,106.629,192.8
10/25/2017,Almond Flour,0.25 cup,160.5,0,0,1.22,0.05,0.25,0.97,0.11,0.03,0,12.82,1.3,0,0,6.75,0,68.82,0.28,0.95,73.77,0.55,131.96,204.01,0.99,2.99,0.83,5.48,3.04,0.24,1.24,2.44,14.09,0,8.94,0,3.39,3.39,1.07,0,0.07,0.16,0.2,0.4,0.16,0.05,0.31,5.84,0.18,0.06,0.14,0.23,1066.29,106.629,192.8
10/25/2017,"Egg Whites Only, Cooked",1.00 FDA Serving Size,26,0,0,43.79,0,0.22,0.05,0.1,0,0.05,2,0,0,0,0,0,3.5,0.01,0.04,5.5,0.01,7.5,81.5,10,83,0.02,0.37,0,0,0.36,0.37,0.09,0,0,0,0,0,0,0,0.14,0.15,0.33,0.51,0.4,0.2,0.34,5.45,0.22,0.06,0.23,0.4,1066.29,106.629,192.8
10/26/2017,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092.73,109.273,192
10/26/2017,"Centrum, Silver",1.00 Tablet,,,,,1.5,1.7,20,10,3,25,400,2500,60,1000,33.62,30,220,0.5,,50,2.3,20,80,19,,11,,,,,,,,,,,,,,,,,,,,,,,,,,1092.73,109.273,192
10/26/2017,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092.73,109.273,192
10/26/2017,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,,1092.73,109.273,192
10/26/2017,Tap Water,12.66 cup,0,0,0,2997,0,0,0,0,0,0,0,0,0,0,0,0,90,0.3,0,30,0,0,0,0,120,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092.73,109.273,192
10/26/2017,"Coffee, Prepared From Grounds",2.00 large or venti - each 20 fl oz,11.84,0,473.6,1176.78,0.17,0.9,2.26,3.01,0.01,0,23.68,0,0,0,0.12,1.18,23.68,0.02,0.12,35.52,0.27,35.52,580.16,0,23.68,0.24,5.56,5.56,0,0,0,0.24,0,0.18,0,0.01,0.01,0.02,0,0.02,0.02,0.02,0.06,0.01,0,0.04,1.42,0.01,0,0.02,0.04,1092.73,109.273,192
10/26/2017,"Chicken Breast, Skin Removed Before Cooking",1.07 cup,456.12,0,0,170.74,0.17,0.31,32.75,2.56,1.58,0.9,10.55,76.46,0,13.18,0.71,0.79,39.55,0.13,2.79,71.19,0.04,569.49,651.22,64.33,203.01,3.24,0,0,0,0,0,11.89,224.1,4.06,0.26,2.16,2.58,3.35,0.24,1.04,2.53,4.3,6.11,6.92,2.25,3.23,81.49,3.44,0.95,2.75,4.04,1092.73,109.273,192
10/26/2017,"Broccoli, Cooked from Frozen",4.00 FDA Serving Size,95.2,0,0,308.45,0.19,0.28,1.56,0.93,0.44,0,190.4,3437.4,136.34,0,3.84,299.54,112.2,0.12,2.07,44.2,0.76,166.6,482.8,2.38,37.4,0.95,18.19,10.2,2.31,5,7.99,0.41,0,0.03,0.14,0.04,0.19,0.06,0,0.07,0.19,0.41,0.49,0.53,0.13,0.32,10.54,0.34,0.11,0.24,0.48,1092.73,109.273,192
10/26/2017,"Sargento Foods Inc, Light String Cheese",2.00 PIECE,99.96,,,,,,,,,,,399.84,0,,,,299.88,,0,,,199.92,39.9,,320.04,,2,0,,0,2,5,20.16,,,,,3,0,,,,,,,,12,,,,,1092.73,109.273,192
10/26/2017,"Asparagus, Cooked from Fresh","1.67 cup, cut pieces",66,0,0,277.89,0.49,0.42,3.25,0.68,0.24,0,447,3018,23.1,0,4.5,151.8,69,0.5,2.73,42,0.46,162,672,18.3,42,1.8,12.33,6,0,3.9,6.33,0.66,0,0,0.09,0.23,0.31,0.14,0,0.1,0.16,0.25,0.42,0.34,0.1,0.25,7.2,0.28,0.09,0.17,0.38,1092.73,109.273,192
10/26/2017,"Morton, Salt Mixture, Lite",1.00 x 0.25 Teaspoon,0,0,,,,,,,,0,,,,,,,0.56,,,0.84,,,354.2,,275.8,,0.01,,,,0.01,0.01,,,,,,,,,,,,,,,0,,,,,1092.73,109.273,192
10/26/2017,Chia Seeds,"2.00 tbsp, whole pieces",97.2,0,0,1.16,0.04,0.01,1.23,0.12,0.28,0,9.8,8.8,0.32,0,0.1,141.78,126.2,0.18,3.28,78,0.54,172,81.4,11.04,3.2,0.92,8.42,6.88,1.22,0.19,1.54,6.15,0,0.46,3.57,1.17,4.73,0.76,0.03,0.08,0.11,0.16,0.27,0.19,0.12,0.2,3.31,0.14,0.09,0.11,0.19,1092.73,109.273,192
10/26/2017,Dill Pickles,"1.00 large - 4"" long",16.2,0,0,127.36,0.06,0.08,0.15,0.27,0.05,0,10.8,168.75,3.11,0,0.04,23.36,76.95,0.04,0.35,9.45,0.08,21.6,157.95,0,1092.15,0.14,3.25,1.35,0.46,1.44,1.9,0.41,0,0.01,0.09,0.07,0.16,0.11,0,0.01,0.01,0.03,0.04,0.04,0.01,0.02,0.68,0.02,0.01,0.01,0.03,1092.73,109.273,192
10/26/2017,Kimchi,"2.65 cup, cut pieces",77.77,0,0,372.24,0.14,0.25,3.4,0.39,0.67,0.12,166.35,9917.11,148.47,0,0.58,146.99,287.31,0.21,2.84,57.74,0.58,149.1,844.28,2.89,674.41,0.78,11.64,3.34,1.81,5.16,8.3,1.42,0,0.19,0.39,0.23,0.62,0.26,0,0.09,0.16,0.36,0.49,0.48,0.11,0.25,7.36,0.27,0.08,0.19,0.35,1092.73,109.273,192
10/26/2017,"Cheddar Cheese, Natural",1.20 stick - each 1 oz,137.44,0,0,12.59,0.01,0.15,0.02,0.14,0.02,0.37,9.19,422.52,0,8.16,0.24,0.82,241.54,0.01,0.05,9.19,0.01,154.79,25.85,9.7,222.15,1.24,1.05,0,0,0.16,1.05,11.33,33.68,2.81,0.05,0.42,0.48,6.42,0.31,0.04,0.19,0.41,0.66,0.35,0.19,0.37,7.78,0.36,0.19,0.38,0.48,1092.73,109.273,192
10/27/2017,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1267.89,126.789,193.3
10/27/2017,"Centrum, Silver",1.00 Tablet,,,,,1.5,1.7,20,10,3,25,400,2500,60,1000,33.62,30,220,0.5,,50,2.3,20,80,19,,11,,,,,,,,,,,,,,,,,,,,,,,,,,1267.89,126.789,193.3
10/27/2017,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1267.89,126.789,193.3
10/27/2017,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,,1267.89,126.789,193.3
10/27/2017,Tap Water,3.16 cup,0,0,0,749.25,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0.08,0,7.5,0,0,0,0,30,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1267.89,126.789,193.3
10/27/2017,"Coffee, Prepared From Grounds",1.00 large or venti - each 20 fl oz,5.92,0,236.8,588.39,0.08,0.45,1.13,1.5,0.01,0,11.84,0,0,0,0.06,0.59,11.84,0.01,0.06,17.76,0.14,17.76,290.08,0,11.84,0.12,2.78,2.78,0,0,0,0.12,0,0.09,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.03,0.01,0,0.02,0.71,0.01,0,0.01,0.02,1267.89,126.789,193.3
10/27/2017,"Chicken Breast, Skin Removed Before Cooking",0.91 cup,387.45,0,0,145.04,0.15,0.26,27.82,2.18,1.34,0.76,8.96,64.95,0,11.2,0.6,0.67,33.59,0.11,2.37,60.47,0.04,483.76,553.18,54.65,172.45,2.75,0,0,0,0,0,10.1,190.37,3.45,0.22,1.84,2.19,2.84,0.2,0.89,2.15,3.66,5.19,5.88,1.91,2.75,69.23,2.92,0.81,2.34,3.43,1267.89,126.789,193.3
10/27/2017,"Chicken Wing, Skin Eaten",6.00 medium,548.64,0,0,128.3,0.14,0.33,13.65,1.86,1.21,0.76,19.44,84.24,0,15.12,1.49,0.65,38.88,0.09,1.81,41.04,0.02,317.52,457.92,55.08,211.68,3.54,0,0,0,0,0,36.44,304.56,16.64,0.41,7.16,7.75,10.75,0.18,0.54,1.92,2.52,4.25,4.94,1.34,2.07,51.39,2.3,0.65,1.85,2.66,1267.89,126.789,193.3
10/27/2017,"Louisiana Brand, Wing Sauce",5.00 Tbsp,50.25,,,,,,,,,,,2499.75,60,,,,0,,0,,,,,,2499.75,,5,,,,5,,,,,,,,,,,,,,,,0,,,,,1267.89,126.789,193.3
10/27/2017,"Kale, Raw","0.50 cup, chopped",3.92,0,0,6.72,0.01,0.01,0.08,0.01,0.02,0,11.28,799.04,9.6,0,0.12,56.37,12,0.12,0.12,3.76,0.05,7.36,39.27,0.07,3.04,0.04,0.7,0.29,0.04,0.18,0.41,0.07,0,0,0.01,0.01,0.03,0.01,0,0,0.01,0.02,0.02,0.02,0,0.01,0.34,0.01,0,0.01,0.01,1267.89,126.789,193.3
10/27/2017,"Cabbage, Green, Raw","0.50 cup, chopped",11.13,0,0,41.02,0.03,0.02,0.1,0.09,0.06,0,19.14,43.61,16.29,0,0.07,33.82,17.8,0.01,0.21,5.34,0.07,11.57,75.66,0.13,8.01,0.08,2.58,1,0,1.42,1.58,0.04,0,0.01,0,0.01,0.01,0.02,0,0,0.01,0.01,0.02,0.02,0.01,0.01,0.57,0.02,0,0.01,0.02,1267.89,126.789,193.3
10/27/2017,Kimchi,"2.65 cup, cut pieces",77.75,0,0,372.14,0.14,0.25,3.4,0.39,0.67,0.12,166.31,9914.45,148.43,0,0.58,146.95,287.24,0.21,2.84,57.73,0.58,149.06,844.05,2.89,674.23,0.78,11.64,3.34,1.81,5.16,8.3,1.42,0,0.19,0.39,0.23,0.62,0.26,0,0.09,0.16,0.36,0.49,0.48,0.11,0.25,7.36,0.27,0.08,0.19,0.35,1267.89,126.789,193.3
10/27/2017,Colby Jack Cheese,0.90 stick - each 1 oz,97.85,0,0,10.11,0,0.1,0.02,0.05,0.02,0.21,4.59,224.91,0,5.87,0.07,0.66,182.56,0.01,0.19,6.76,0,114.95,26.54,3.7,153.6,0.77,0.41,0,0,0.13,0.41,7.96,23.47,2.3,0.07,0.17,0.24,5.01,0.2,0.03,0.22,0.38,0.59,0.51,0.16,0.32,6.15,0.22,0.08,0.3,0.41,1267.89,126.789,193.3
10/27/2017,"Sargento Foods Inc, Light String Cheese",1.00 PIECE,49.98,,,,,,,,,,,199.92,0,,,,149.94,,0,,,99.96,19.95,,160.02,,1,0,,0,1,2.5,10.08,,,,,1.5,0,,,,,,,,6,,,,,1267.89,126.789,193.3
10/28/2017,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1263.82,126.382,193.182
10/28/2017,"Centrum, Silver",1.00 Tablet,,,,,1.5,1.7,20,10,3,25,400,2500,60,1000,33.62,30,220,0.5,,50,2.3,20,80,19,,11,,,,,,,,,,,,,,,,,,,,,,,,,,1263.82,126.382,193.182
10/28/2017,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1263.82,126.382,193.182
10/28/2017,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,,1263.82,126.382,193.182
10/28/2017,Tap Water,6.33 cup,0,0,0,1498.5,0,0,0,0,0,0,0,0,0,0,0,0,45,0.15,0,15,0,0,0,0,60,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263.82,126.382,193.182
10/28/2017,"Coffee, Prepared From Grounds",2.00 large or venti - each 20 fl oz,11.84,0,473.6,1176.78,0.17,0.9,2.26,3.01,0.01,0,23.68,0,0,0,0.12,1.18,23.68,0.02,0.12,35.52,0.27,35.52,580.16,0,23.68,0.24,5.56,5.56,0,0,0,0.24,0,0.18,0,0.01,0.01,0.02,0,0.02,0.02,0.02,0.06,0.01,0,0.04,1.42,0.01,0,0.02,0.04,1263.82,126.382,193.182
10/28/2017,"Chicken Wing, Skin Eaten",7.00 medium,640.08,0,0,149.69,0.16,0.39,15.93,2.17,1.41,0.88,22.68,98.28,0,17.64,1.74,0.76,45.36,0.1,2.12,47.88,0.03,370.44,534.24,64.26,246.96,4.13,0,0,0,0,0,42.51,355.32,19.42,0.48,8.35,9.05,12.54,0.21,0.63,2.24,2.94,4.96,5.76,1.56,2.42,59.95,2.69,0.76,2.16,3.1,1263.82,126.382,193.182
10/28/2017,"Louisiana Brand, Wing Sauce",5.00 Tbsp,50.25,,,,,,,,,,,2499.75,60,,,,0,,0,,,,,,2499.75,,5,,,,5,,,,,,,,,,,,,,,,0,,,,,1263.82,126.382,193.182
10/28/2017,"Asparagus, Cooked from Fresh",3.00 FDA Serving Size,56.1,0,0,236.21,0.41,0.35,2.76,0.57,0.2,0,379.95,2565.3,19.63,0,3.82,129.03,58.65,0.42,2.32,35.7,0.39,137.7,571.2,15.56,35.7,1.53,10.48,5.1,0,3.32,5.38,0.56,0,0,0.07,0.19,0.27,0.12,0,0.09,0.14,0.21,0.36,0.29,0.09,0.21,6.12,0.23,0.07,0.15,0.32,1263.82,126.382,193.182
10/28/2017,"Chicken Breast, Skin Removed Before Cooking",0.94 large - split,220.7,0,0,82.62,0.08,0.15,15.85,1.24,0.77,0.43,5.1,37,0,6.38,0.34,0.38,19.14,0.06,1.35,34.44,0.02,275.56,315.1,31.13,98.23,1.57,0,0,0,0,0,5.75,108.44,1.96,0.13,1.05,1.25,1.62,0.11,0.51,1.22,2.08,2.96,3.35,1.09,1.56,39.43,1.66,0.46,1.33,1.96,1263.82,126.382,193.182
10/28/2017,"Sargento Foods Inc, Light String Cheese",2.00 PIECE,99.96,,,,,,,,,,,399.84,0,,,,299.88,,0,,,199.92,39.9,,320.04,,2,0,,0,2,5,20.16,,,,,3,0,,,,,,,,12,,,,,1263.82,126.382,193.182
10/28/2017,Kimchi,7.00 FDA Serving Size,116.56,0,0,557.88,0.21,0.38,5.1,0.59,1,0.18,249.32,14863.18,222.51,0,0.86,220.3,430.61,0.32,4.26,86.54,0.86,223.46,1265.35,4.34,1010.77,1.17,17.45,5.01,2.71,7.74,12.44,2.12,0,0.28,0.59,0.35,0.93,0.39,0,0.14,0.24,0.54,0.73,0.72,0.16,0.38,11.04,0.41,0.12,0.29,0.52,1263.82,126.382,193.182
10/28/2017,"Morton, Salt Mixture, Lite",2.00 x 0.25 Teaspoon,0.01,0,,,,,,,,0,,,,,,,1.12,,,1.68,,,708.4,,551.6,,0.03,,,,0.03,0.03,,,,,,,,,,,,,,,0,,,,,1263.82,126.382,193.182
10/28/2017,"Zucchini, Raw",1.00 medium,33.32,0,0,185.79,0.09,0.18,0.88,0.4,0.32,0,47.04,392,35.08,0,0.24,8.43,31.36,0.1,0.73,35.28,0.35,74.48,511.56,0.39,15.68,0.63,6.1,1.96,0,4.9,4.14,0.63,0,0.02,0.12,0.06,0.18,0.16,0,0.02,0.05,0.09,0.14,0.13,0.04,0.08,2.37,0.06,0.02,0.06,0.11,1263.82,126.382,193.182
10/29/2017,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1358.49,135.849,194.331
10/29/2017,"Centrum, Silver",1.00 Tablet,,,,,1.5,1.7,20,10,3,25,400,2500,60,1000,33.62,30,220,0.5,,50,2.3,20,80,19,,11,,,,,,,,,,,,,,,,,,,,,,,,,,1358.49,135.849,194.331
10/29/2017,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1358.49,135.849,194.331
10/29/2017,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,,1358.49,135.849,194.331
10/29/2017,Tap Water,6.33 cup,0,0,0,1498.5,0,0,0,0,0,0,0,0,0,0,0,0,45,0.15,0,15,0,0,0,0,60,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358.49,135.849,194.331
10/29/2017,"Coffee, Prepared From Grounds",1.00 large or venti - each 20 fl oz,5.92,0,236.8,588.39,0.08,0.45,1.13,1.5,0.01,0,11.84,0,0,0,0.06,0.59,11.84,0.01,0.06,17.76,0.14,17.76,290.08,0,11.84,0.12,2.78,2.78,0,0,0,0.12,0,0.09,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.03,0.01,0,0.02,0.71,0.01,0,0.01,0.02,1358.49,135.849,194.331
10/29/2017,"Chicken Wing, Skin Eaten",5.00 medium,457.2,0,0,106.92,0.12,0.28,11.38,1.55,1,0.63,16.2,70.2,0,12.6,1.24,0.54,32.4,0.07,1.51,34.2,0.02,264.6,381.6,45.9,176.4,2.95,0,0,0,0,0,30.37,253.8,13.87,0.34,5.97,6.46,8.96,0.15,0.45,1.6,2.1,3.54,4.12,1.11,1.73,42.82,1.92,0.54,1.54,2.22,1358.49,135.849,194.331
10/29/2017,"Louisiana Brand, Wing Sauce",5.00 Tbsp,50.25,,,,,,,,,,,2499.75,60,,,,0,,0,,,,,,2499.75,,5,,,,5,,,,,,,,,,,,,,,,0,,,,,1358.49,135.849,194.331
10/29/2017,"Chicken Breast, Skin Removed Before Cooking",1.28 large - split,299.17,0,0,111.99,0.11,0.2,21.48,1.68,1.04,0.59,6.92,50.15,0,8.65,0.47,0.52,25.94,0.09,1.83,46.69,0.03,373.53,427.14,42.2,133.16,2.13,0,0,0,0,0,7.8,146.99,2.66,0.17,1.42,1.69,2.2,0.16,0.68,1.66,2.82,4.01,4.54,1.48,2.12,53.45,2.26,0.62,1.8,2.65,1358.49,135.849,194.331
10/29/2017,"Tuna, Canned, Light, Water Pack, Drained, Not Rinsed",1.00 can - each 5 oz net weight,110.94,0,0,100.8,0.04,0.11,13.08,0.19,0.41,3.29,5.16,73.53,0,60.63,0.43,2.97,21.93,0.06,2.1,29.67,0.02,179.31,230.91,91.07,318.63,0.89,0,0,0,0,0,1.24,46.44,0.14,0.3,0.05,0.36,0.27,0,0.26,0.71,1.11,1.95,2.21,0.71,0.94,25.08,1.05,0.27,0.81,1.24,1358.49,135.849,194.331
