Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Omega-3 (g),Omega-6 (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g)
12/15/2017,Kimchi,"0.89 cup, cut pieces",26.05,0,0,124.7,0.05,0.09,1.14,0.13,0.22,0.04,55.73,3322.36,49.74,0,0.19,49.24,96.25,0.07,0.95,19.34,0.19,49.95,282.84,0.97,225.94,0.26,3.9,1.12,0.61,1.73,2.78,0.47,0,0.06,0.13,0.08,0.21,0.09,0,0.03,0.05,0.12,0.16,0.16,0.04,0.09,2.47,0.09,0.03,0.06,0.12
12/15/2017,"Hot Chili Sauce, Sriracha",1.00 tbsp,18.13,0,0,14.01,0.02,0.04,0.24,0.07,0.09,0,4.29,501.92,5.25,0,0.94,2.13,3.51,0.01,0.32,3.12,0.03,8.97,62.59,0.08,414.17,0.05,3.74,0.43,0.27,2.95,3.31,0.18,0,0.01,0,0.09,0.09,0.02,0,0.01,0.01,0.01,0.02,0.02,0,0.01,0.38,0.01,0.01,0.01,0.02
12/15/2017,"Salami, Hard, Beef and Pork","1.03 Serving (11 small slice - 1 3/4"" diameter x 1/8"" - each 0.2 oz)",214.32,0,0,23.35,0.22,0.11,3.46,0.57,0.25,0.65,0,20.41,0,20.41,0.36,0,13.61,0.05,0.77,11.34,0.54,108.86,205.82,19.05,995.64,1.51,0.41,0,0,0.15,0.41,17.95,61.23,8.34,0.12,2.49,2.78,6.47,0.27,0.13,0.49,0.57,0.98,1.06,0.33,0.5,11.95,0.53,0.14,0.47,0.6
12/15/2017,"Chicken Wing, Skin Eaten",4.00 medium,365.76,0,0,85.54,0.09,0.22,9.1,1.24,0.8,0.5,12.96,56.16,0,10.08,0.99,0.43,25.92,0.06,1.21,27.36,0.02,211.68,305.28,36.72,141.12,2.36,0,0,0,0,0,24.29,203.04,11.1,0.27,4.77,5.17,7.17,0.12,0.36,1.28,1.68,2.83,3.29,0.89,1.38,34.26,1.54,0.43,1.23,1.77
12/15/2017,"Broccoli, Cooked from Frozen",4.00 FDA Serving Size,95.2,0,0,308.45,0.19,0.28,1.56,0.93,0.44,0,190.4,3437.4,136.34,0,3.84,299.54,112.2,0.12,2.07,44.2,0.76,166.6,482.8,2.38,37.4,0.95,18.19,10.2,2.31,5,7.99,0.41,0,0.03,0.14,0.04,0.19,0.06,0,0.07,0.19,0.41,0.49,0.53,0.13,0.32,10.54,0.34,0.11,0.24,0.48
12/15/2017,"Chicken Drumstick, Skin Eaten",1.00 medium,119.48,0,0,35.76,0.03,0.21,4.12,0.58,0.25,0.96,5.22,27.26,0,8.7,0.05,0,9.86,0.07,0.84,15.66,0.01,124.7,132.24,17.52,60.9,1.94,0.04,0,0,0,0.04,5.77,77.72,2.08,0.1,1.53,1.66,1.7,0.08,0.15,0.41,0.44,1.06,1.26,0.4,0.5,15.82,0.55,0.16,0.45,0.5
12/15/2017,Colby Jack Cheese,1.52 stick - each 1 oz,164.91,0,0,17.03,0.01,0.16,0.04,0.09,0.03,0.36,7.74,379.05,0,9.89,0.12,1.12,307.67,0.02,0.32,11.4,0.01,193.72,44.72,6.24,258.86,1.31,0.7,0,0,0.22,0.7,13.41,39.56,3.88,0.12,0.28,0.4,8.45,0.33,0.05,0.36,0.64,0.99,0.86,0.27,0.55,10.37,0.37,0.13,0.5,0.69
12/15/2017,"Chicken Wing, Skin Eaten",2.00 medium,182.88,0,0,42.77,0.05,0.11,4.55,0.62,0.4,0.25,6.48,28.08,0,5.04,0.5,0.22,12.96,0.03,0.6,13.68,0.01,105.84,152.64,18.36,70.56,1.18,0,0,0,0,0,12.15,101.52,5.55,0.14,2.39,2.58,3.58,0.06,0.18,0.64,0.84,1.42,1.65,0.45,0.69,17.13,0.77,0.22,0.62,0.89
12/15/2017,Colby Jack Cheese,"0.55 cup, grated",237.77,0,0,24.56,0.01,0.24,0.06,0.13,0.05,0.51,11.16,546.53,0,14.26,0.17,1.61,443.61,0.02,0.46,16.43,0.01,279.31,64.48,8.99,373.24,1.88,1.01,0,0,0.32,1.01,19.34,57.04,5.59,0.17,0.41,0.57,12.18,0.48,0.08,0.53,0.93,1.43,1.24,0.39,0.79,14.95,0.53,0.19,0.72,1
12/15/2017,"Chicken Wing, Skin Eaten",2.00 small,157.48,0,0,36.83,0.04,0.09,3.92,0.53,0.35,0.22,5.58,24.18,0,4.34,0.43,0.19,11.16,0.03,0.52,11.78,0.01,91.14,131.44,15.81,60.76,1.02,0,0,0,0,0,10.46,87.42,4.78,0.12,2.05,2.23,3.09,0.05,0.15,0.55,0.72,1.22,1.42,0.38,0.6,14.75,0.66,0.19,0.53,0.76
12/15/2017,Whiskey,1.00 jigger/shot - each 1.5 fl oz,96.33,13.93,0,27.77,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0.01,1.67,0.83,0,0.42,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/2017,"Centrum, Silver Men 50+",1.00 Tablet,,,,,1.5,1.7,20,10,6,100,300,3500,120,1000,40.27,60,210,0.5,,75,4,20,80,21,,15,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/2017,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,
12/16/2017,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/2017,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/2017,"Member's Mark, Vitamin D3, 5000 IU",1.00 Softgel,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/2017,"Aldi-benner Company, Southern Grove, Sunflower Kernels, Roasted & Salted",1.00 x 0.25 cup,180.04,,,,,,,,,,,0,0,,,,19.88,,1.44,,,,,,210,,4,3,,1,1.01,14,0,,,,,2,0,,,,,,,,8,,,,
12/16/2017,"Chicken Wing, Skin Eaten",7.00 medium,640.08,0,0,149.69,0.16,0.39,15.93,2.17,1.41,0.88,22.68,98.28,0,17.64,1.74,0.76,45.36,0.1,2.12,47.88,0.03,370.44,534.24,64.26,246.96,4.13,0,0,0,0,0,42.51,355.32,19.42,0.48,8.35,9.05,12.54,0.21,0.63,2.24,2.94,4.96,5.76,1.56,2.42,59.95,2.69,0.76,2.16,3.1
12/16/2017,"Radish, Raw",1.23 cup,36.29,0,0,216.07,0.03,0.09,0.58,0.37,0.16,0,56.7,15.88,33.57,0,0,3.18,56.7,0.11,0.77,22.68,0.16,45.36,528.44,1.36,88.45,0.64,7.71,3.63,0,4.22,4.08,0.23,0,0.04,0.07,0.04,0.11,0.07,0,0.02,0.03,0.05,0.07,0.07,0.02,0.08,1.54,0.05,0.02,0.02,0.08
12/16/2017,Colby Jack Cheese,1.00 stick - each 1 oz,108.72,0,0,11.23,0,0.11,0.03,0.06,0.02,0.24,5.1,249.91,0,6.52,0.08,0.74,202.84,0.01,0.21,7.51,0,127.72,29.48,4.11,170.67,0.86,0.46,0,0,0.14,0.46,8.84,26.08,2.56,0.08,0.19,0.26,5.57,0.22,0.03,0.24,0.42,0.65,0.57,0.18,0.36,6.84,0.24,0.09,0.33,0.46
12/16/2017,"Beef Brisket, Visible Fat Eaten",0.92 cup,748.43,0,0,113.17,0.16,0.41,7.96,0.73,0.54,5.85,15.88,0,0,54.43,0.54,4.54,24.95,0.19,5.47,45.36,0.03,408.23,703.07,49.21,147.42,12.63,0,0,0,0,0,58.13,190.51,25.57,0.64,1.43,2.06,23.41,2.64,0.59,1.79,2.36,4.14,4.36,1.34,2.05,52.39,2.29,0.59,1.76,2.55
12/16/2017,"Kirkland Signature, Smoked Pulled Pork, Canada",6.00 oz,459.26,,,,,,,,,,,0,0,,,,0,,2.14,,,,,,952.54,,0,0,,0,0,32.32,127.57,,,,,11.91,0,,,,,,,,42.52,,,,
12/17/2017,"Centrum, Silver Men 50+",1.00 Tablet,,,,,1.5,1.7,20,10,6,100,300,3500,120,1000,40.27,60,210,0.5,,75,4,20,80,21,,15,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/2017,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,
12/17/2017,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/2017,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/2017,"Member's Mark, Vitamin D3, 5000 IU",1.00 Softgel,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/2017,"Chicken Wing, Skin Eaten",5.00 medium,457.2,0,0,106.92,0.12,0.28,11.38,1.55,1,0.63,16.2,70.2,0,12.6,1.24,0.54,32.4,0.07,1.51,34.2,0.02,264.6,381.6,45.9,176.4,2.95,0,0,0,0,0,30.37,253.8,13.87,0.34,5.97,6.46,8.96,0.15,0.45,1.6,2.1,3.54,4.12,1.11,1.73,42.82,1.92,0.54,1.54,2.22
12/17/2017,"Cauliflower, Raw","1.06 cup, cut pieces",28.35,0,0,104.41,0.06,0.07,0.57,0.76,0.21,0,64.64,0,54.66,0,0.09,17.58,24.95,0.04,0.48,17.01,0.18,49.9,339.06,0.68,34.02,0.31,5.64,2.27,0.41,2.17,3.37,0.32,0,0.04,0.02,0.02,0.04,0.15,0,0.02,0.06,0.08,0.12,0.25,0.02,0.07,2.18,0.09,0.02,0.06,0.14
12/17/2017,"Chicken Drumstick, Skin Eaten",3.00 medium,358.44,0,0,107.29,0.1,0.64,12.36,1.75,0.75,2.89,15.66,81.78,0,26.1,0.14,0,29.58,0.22,2.52,46.98,0.03,374.1,396.72,52.55,182.7,5.83,0.12,0,0,0,0.12,17.31,233.16,6.25,0.29,4.59,4.99,5.1,0.24,0.44,1.24,1.31,3.18,3.77,1.19,1.49,47.45,1.66,0.48,1.35,1.49
12/17/2017,Sour Cream,0.25 cup,112.26,0,0,41.43,0.01,0.1,0.05,0.27,0.02,0.12,3.4,253.44,0.51,0,0.22,0.85,57.27,0.01,0.04,5.67,0.01,43.09,70.87,2.1,17.58,0.19,2.63,0,0,1.93,2.63,10.97,33.45,2.6,0.05,0.38,0.45,5.75,0.5,0.02,0.05,0.09,0.18,0.16,0.04,0.09,1.38,0.08,0.02,0.09,0.11
12/17/2017,Whiskey,2.20 jigger/shot - each 1.5 fl oz,211.92,30.64,0,61.1,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0.04,0,0.02,3.67,1.83,0,0.92,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/2017,"Broccoli, Cooked from Frozen",4.00 FDA Serving Size,95.2,0,0,308.45,0.19,0.28,1.56,0.93,0.44,0,190.4,3437.4,136.34,0,3.84,299.54,112.2,0.12,2.07,44.2,0.76,166.6,482.8,2.38,37.4,0.95,18.19,10.2,2.31,5,7.99,0.41,0,0.03,0.14,0.04,0.19,0.06,0,0.07,0.19,0.41,0.49,0.53,0.13,0.32,10.54,0.34,0.11,0.24,0.48
12/17/2017,"Chicken Drumstick, Skin Eaten",2.00 medium,238.96,0,0,71.53,0.07,0.42,8.24,1.16,0.5,1.93,10.44,54.52,0,17.4,0.09,0,19.72,0.15,1.68,31.32,0.02,249.4,264.48,35.03,121.8,3.89,0.08,0,0,0,0.08,11.54,155.44,4.17,0.2,3.06,3.33,3.4,0.16,0.29,0.82,0.88,2.12,2.51,0.8,1,31.63,1.1,0.32,0.9,1
12/17/2017,"Cheddar Cheese, Natural","0.74 cup, grated",339.36,0,0,31.1,0.02,0.36,0.05,0.34,0.06,0.92,22.68,1043.28,0,20.16,0.6,2.02,596.4,0.03,0.12,22.68,0.02,382.2,63.84,23.94,548.52,3.06,2.6,0,0,0.4,2.6,27.98,83.16,6.95,0.12,1.03,1.19,15.85,0.77,0.1,0.46,1.01,1.63,0.86,0.46,0.9,19.21,0.88,0.46,0.93,1.18
12/17/2017,Kimchi,1.00 FDA Serving Size,16.65,0,0,79.7,0.03,0.05,0.73,0.08,0.14,0.03,35.62,2123.31,31.79,0,0.12,31.47,61.52,0.05,0.61,12.36,0.12,31.92,180.76,0.62,144.4,0.17,2.49,0.72,0.39,1.11,1.78,0.3,0,0.04,0.08,0.05,0.13,0.06,0,0.02,0.03,0.08,0.1,0.1,0.02,0.05,1.58,0.06,0.02,0.04,0.07
12/18/2017,"Centrum, Silver Men 50+",1.00 Tablet,,,,,1.5,1.7,20,10,6,100,300,3500,120,1000,40.27,60,210,0.5,,75,4,20,80,21,,15,,,,,,,,,,,,,,,,,,,,,,,,,
12/18/2017,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,
12/18/2017,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/18/2017,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/18/2017,"Member's Mark, Vitamin D3, 5000 IU",1.00 Softgel,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/18/2017,"Chicken Drumstick, Skin Eaten",4.00 medium,477.92,0,0,143.05,0.13,0.85,16.48,2.33,1,3.85,20.88,109.04,0,34.8,0.19,0,39.44,0.29,3.36,62.64,0.04,498.8,528.96,70.06,243.6,7.77,0.16,0,0,0,0.16,23.08,310.88,8.34,0.39,6.12,6.65,6.8,0.32,0.58,1.65,1.75,4.24,5.02,1.59,1.99,63.27,2.21,0.64,1.8,1.99
12/18/2017,"Aldi-benner Company, Southern Grove, Sunflower Kernels, Roasted & Salted",1.00 x 0.25 cup,180.04,,,,,,,,,,,0,0,,,,19.88,,1.44,,,,,,210,,4,3,,1,1.01,14,0,,,,,2,0,,,,,,,,8,,,,
12/18/2017,"Morton, Salt Mixture, Lite",2.00 x 0.25 Teaspoon,0.01,0,,,,,,,,0,,,,,,,1.12,,,1.68,,,708.4,,551.6,,0.03,,,,0.03,0.03,,,,,,,,,,,,,,,0,,,,
12/18/2017,"Chicken Drumstick, Skin Eaten",4.00 medium,477.92,0,0,143.05,0.13,0.85,16.48,2.33,1,3.85,20.88,109.04,0,34.8,0.19,0,39.44,0.29,3.36,62.64,0.04,498.8,528.96,70.06,243.6,7.77,0.16,0,0,0,0.16,23.08,310.88,8.34,0.39,6.12,6.65,6.8,0.32,0.58,1.65,1.75,4.24,5.02,1.59,1.99,63.27,2.21,0.64,1.8,1.99
12/18/2017,"Broccoli, Cooked from Frozen",4.00 FDA Serving Size,95.2,0,0,308.45,0.19,0.28,1.56,0.93,0.44,0,190.4,3437.4,136.34,0,3.84,299.54,112.2,0.12,2.07,44.2,0.76,166.6,482.8,2.38,37.4,0.95,18.19,10.2,2.31,5,7.99,0.41,0,0.03,0.14,0.04,0.19,0.06,0,0.07,0.19,0.41,0.49,0.53,0.13,0.32,10.54,0.34,0.11,0.24,0.48
12/18/2017,"Cheddar Cheese, Natural","0.59 cup, grated",270.68,0,0,24.8,0.02,0.29,0.04,0.27,0.04,0.74,18.09,832.14,0,16.08,0.48,1.61,475.7,0.02,0.09,18.09,0.02,304.85,50.92,19.1,437.51,2.44,2.07,0,0,0.32,2.07,22.32,66.33,5.54,0.1,0.82,0.95,12.64,0.61,0.08,0.37,0.81,1.3,0.69,0.37,0.72,15.32,0.7,0.37,0.74,0.94
12/18/2017,Kimchi,1.11 FDA Serving Size,18.41,0,0,88.14,0.03,0.06,0.81,0.09,0.16,0.03,39.39,2348.13,35.15,0,0.14,34.8,68.03,0.05,0.67,13.67,0.14,35.3,199.9,0.69,159.68,0.19,2.76,0.79,0.43,1.22,1.97,0.34,0,0.04,0.09,0.06,0.15,0.06,0,0.02,0.04,0.09,0.12,0.11,0.03,0.06,1.74,0.06,0.02,0.05,0.08
12/18/2017,"Green Giant, Mashed Cauliflower, Cheddar & Bacon",3.00 1/2 cup,270,,,,,,,,,,,300,54,,,,180,,1.08,,,,,,1380,,18,6,,9,12,18,60,,,,,10.5,0,,,,,,,,9,,,,
12/19/2017,"Centrum, Silver Men 50+",1.00 Tablet,,,,,1.5,1.7,20,10,6,100,300,3500,120,1000,40.27,60,210,0.5,,75,4,20,80,21,,15,,,,,,,,,,,,,,,,,,,,,,,,,
12/19/2017,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,
12/19/2017,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/19/2017,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/19/2017,"Member's Mark, Vitamin D3, 5000 IU",1.00 Softgel,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/19/2017,"Chicken Drumstick, Skin Eaten",2.00 medium,238.96,0,0,71.53,0.07,0.42,8.24,1.16,0.5,1.93,10.44,54.52,0,17.4,0.09,0,19.72,0.15,1.68,31.32,0.02,249.4,264.48,35.03,121.8,3.89,0.08,0,0,0,0.08,11.54,155.44,4.17,0.2,3.06,3.33,3.4,0.16,0.29,0.82,0.88,2.12,2.51,0.8,1,31.63,1.1,0.32,0.9,1
12/19/2017,"Aldi-benner Company, Southern Grove, Sunflower Kernels, Roasted & Salted",1.00 x 0.25 cup,180.04,,,,,,,,,,,0,0,,,,19.88,,1.44,,,,,,210,,4,3,,1,1.01,14,0,,,,,2,0,,,,,,,,8,,,,
12/19/2017,"Chicken Drumstick, Skin Eaten",2.00 medium,238.96,0,0,71.53,0.07,0.42,8.24,1.16,0.5,1.93,10.44,54.52,0,17.4,0.09,0,19.72,0.15,1.68,31.32,0.02,249.4,264.48,35.03,121.8,3.89,0.08,0,0,0,0.08,11.54,155.44,4.17,0.2,3.06,3.33,3.4,0.16,0.29,0.82,0.88,2.12,2.51,0.8,1,31.63,1.1,0.32,0.9,1
12/19/2017,"Aldi-benner Company, Southern Grove, Sunflower Kernels, Roasted & Salted",1.00 x 0.25 cup,180.04,,,,,,,,,,,0,0,,,,19.88,,1.44,,,,,,210,,4,3,,1,1.01,14,0,,,,,2,0,,,,,,,,8,,,,
12/19/2017,"Cheddar Cheese, Natural","0.71 cup, grated",323.2,0,0,29.62,0.02,0.34,0.05,0.33,0.05,0.88,21.6,993.6,0,19.2,0.57,1.92,568,0.02,0.11,21.6,0.02,364,60.8,22.8,522.4,2.91,2.47,0,0,0.38,2.47,26.65,79.2,6.62,0.11,0.98,1.14,15.09,0.73,0.1,0.44,0.96,1.55,0.82,0.44,0.86,18.3,0.84,0.44,0.89,1.12
