Day,Metric,Unit,Amount
2017-11-07,"Weight (Nokia)",lbs,188.581
2017-11-07,"Body Fat (Nokia)",%,22.048
2017-11-07,"Blood Glucose",mg/dL,98.0
2017-11-07,"Blood Glucose",mg/dL,94.0
2017-11-07,"Weight (Nokia)",lbs,189.093
2017-11-07,"Body Fat (Nokia)",%,24.029
2017-11-08,"Blood Glucose",mg/dL,107.0
2017-11-08,"Blood Glucose",mg/dL,62.0
2017-11-08,"Weight (Nokia)",lbs,186.978
2017-11-08,"Body Fat (Nokia)",%,22.827
2017-11-08,"Blood Glucose",mg/dL,77.0
2017-11-08,"Blood Glucose",mg/dL,84.0
2017-11-09,"Body Temperature",°F,98.0
2017-11-09,"Weight (Nokia)",lbs,186.588
2017-11-09,"Body Fat (Nokia)",%,22.993
2017-11-10,"Weight (Nokia)",lbs,185.041
2017-11-10,"Body Fat (Nokia)",%,22.792
2017-11-10,"Weight (Nokia)",lbs,185.746
2017-11-10,"Body Fat (Nokia)",%,22.088
2017-11-11,"Weight (Nokia)",lbs,184.267
2017-11-11,"Body Fat (Nokia)",%,23.51
2017-11-11,"Body Temperature",°F,98.0
2017-11-12,"Weight (Nokia)",lbs,184.293
2017-11-12,"Body Fat (Nokia)",%,24.296
2017-11-13,"Blood Glucose",mg/dL,101.0
2017-11-13,"Blood Glucose",mg/dL,88.0
2017-11-13,"Weight (Nokia)",lbs,188.608
2017-11-13,"Body Fat (Nokia)",%,23.086
2017-11-13,"Weight (Nokia)",lbs,188.722
2017-11-13,"Weight (Nokia)",lbs,188.639
2017-11-14,"Weight (Nokia)",lbs,186.161
2017-11-14,"Body Fat (Nokia)",%,17.93
2017-11-14,"Blood Glucose",mg/dL,85.0
2017-11-14,"Blood Glucose",mg/dL,79.0
2017-11-14,"Weight (Nokia)",lbs,185.512
2017-11-14,"Body Fat (Nokia)",%,21.142
2017-11-15,"Blood Glucose",mg/dL,95.0
2017-11-15,"Weight (Nokia)",lbs,182.355
2017-11-15,"Body Fat (Nokia)",%,21.628
2017-11-16,"Weight (Nokia)",lbs,180.922
2017-11-16,"Body Fat (Nokia)",%,21.995
2017-11-16,"Diastolic Blood Pressure",mmHg,88.0
2017-11-17,"Weight (Nokia)",lbs,180.616
2017-11-17,"Body Fat (Nokia)",%,22.41
2017-11-17,"Body Temperature",°F,98.1
2017-11-17,"Ketones (Breath)",ppm,11.6
2017-11-18,"Weight (Nokia)",lbs,180.435
2017-11-18,"Body Fat (Nokia)",%,22.164
2017-11-18,"Weight (Nokia)",lbs,179.648
2017-11-18,"Body Fat (Nokia)",%,22.188
2017-11-19,"Weight (Nokia)",lbs,181.291
2017-11-19,"Body Fat (Nokia)",%,21.306
2017-11-20,"Weight (Nokia)",lbs,183.043
2017-11-20,"Body Fat (Nokia)",%,20.849
2017-11-20,"Weight (Nokia)",lbs,183.248
2017-11-20,"Body Fat (Nokia)",%,22.317
2017-11-21,"Blood Glucose",mg/dL,90.0
2017-11-21,"Weight (Nokia)",lbs,180.523
2017-11-21,"Body Fat (Nokia)",%,21.995
2017-11-22,"Blood Glucose",mg/dL,93.0
2017-11-22,"Weight (Nokia)",lbs,180.651
2017-11-22,"Body Fat (Nokia)",%,22.809
2017-11-23,"Weight (Nokia)",lbs,181.185
2017-11-23,"Body Fat (Nokia)",%,22.717
2017-11-24,"Weight (Nokia)",lbs,181.249
2017-11-24,"Body Fat (Nokia)",%,22.636
2017-11-25,"Weight (Nokia)",lbs,181.956
2017-11-25,"Body Fat (Nokia)",%,22.924
2017-11-25,"Ketones (Breath)",ppm,21.6
2017-11-26,"Weight (Nokia)",lbs,184.412
2017-11-26,"Body Fat (Nokia)",%,23.659
2017-11-27,"Weight (Nokia)",lbs,185.316
2017-11-27,"Body Fat (Nokia)",%,22.663
2017-11-27,"Blood Glucose",mg/dL,99.0
2017-11-28,"Weight (Nokia)",lbs,184.265
2017-11-28,"Body Fat (Nokia)",%,22.541
2017-11-29,"Weight (Nokia)",lbs,182.036
2017-11-29,"Body Fat (Nokia)",%,22.357
2017-11-29,"Blood Glucose",mg/dL,119.0
2017-11-30,"Weight (Nokia)",lbs,181.632
2017-11-30,"Body Fat (Nokia)",%,22.297
2017-11-30,"Blood Glucose",mg/dL,98.0
2017-12-01,"Weight (Nokia)",lbs,182.798
2017-12-01,"Body Fat (Nokia)",%,22.42
2017-12-02,"Blood Glucose",mg/dL,85.0
2017-12-02,"Weight (Nokia)",lbs,182.838
2017-12-02,"Body Fat (Nokia)",%,22.126
2017-12-03,"Weight (Nokia)",lbs,183.032
2017-12-03,"Body Fat (Nokia)",%,22.223
2017-12-04,"Blood Glucose",mg/dL,93.0
2017-12-04,"Weight (Nokia)",lbs,183.059
2017-12-04,"Body Fat (Nokia)",%,22.485
2017-12-05,"Blood Glucose",mg/dL,92.0
2017-12-05,"Weight (Nokia)",lbs,183.971
2017-12-05,"Body Fat (Nokia)",%,21.75
2017-12-05,"Weight (Nokia)",lbs,183.879
2017-12-05,"Body Fat (Nokia)",%,21.018
2017-12-05,"Blood Glucose",mg/dL,87.0
2017-12-06,"Blood Glucose",mg/dL,80.0
2017-12-06,"Ketones (Urine)",mmol/L,4.0
2017-12-06,"Weight (Nokia)",lbs,183.389
2017-12-06,"Body Fat (Nokia)",%,21.555
2017-12-07,"Weight (Nokia)",lbs,182.287
2017-12-07,"Body Fat (Nokia)",%,20.524
2017-12-08,"Weight (Nokia)",lbs,181.634
2017-12-08,"Body Fat (Nokia)",%,21.205
2017-12-08,"Weight (Nokia)",lbs,181.837
2017-12-08,"Body Fat (Nokia)",%,20.611
2017-12-08,"Ketones (Breath)",ppm,6.9
2017-12-09,"Blood Glucose",mg/dL,76.0
2017-12-09,"Weight (Nokia)",lbs,182.324
2017-12-09,"Body Fat (Nokia)",%,20.979
2017-12-10,"Weight (Nokia)",lbs,180.001
2017-12-10,"Body Fat (Nokia)",%,21.862
2017-12-10,"Blood Glucose",mg/dL,77.0
2017-12-11,"Weight (Nokia)",lbs,180.667
2017-12-11,"Body Fat (Nokia)",%,21.55
2017-12-11,"Weight (Nokia)",lbs,180.292
2017-12-11,"Body Fat (Nokia)",%,22.182
2017-12-12,"Weight (Nokia)",lbs,183.303
2017-12-12,"Body Fat (Nokia)",%,20.927
2017-12-12,"Weight (Nokia)",lbs,183.239
2017-12-13,"Weight (Nokia)",lbs,182.496
2017-12-13,"Body Fat (Nokia)",%,19.063
2017-12-13,"Weight (Nokia)",lbs,182.543
2017-12-13,"Body Fat (Nokia)",%,19.529
2017-12-14,"Weight (Nokia)",lbs,183.731
2017-12-14,"Body Fat (Nokia)",%,19.751
2017-12-14,"Weight (Nokia)",lbs,183.751
2017-12-14,"Body Fat (Nokia)",%,19.557
2017-12-15,"Weight (Nokia)",lbs,179.278
2017-12-15,"Body Fat (Nokia)",%,17.524
2017-12-15,"Weight (Nokia)",lbs,179.822
2017-12-15,"Body Fat (Nokia)",%,16.576
2017-12-15,"Ketones (Urine)",mmol/L,8.0
2017-12-16,"Weight (Nokia)",lbs,178.548
2017-12-16,"Body Fat (Nokia)",%,19.423
2017-12-16,"Weight (Nokia)",lbs,178.061
2017-12-16,"Body Fat (Nokia)",%,20.578
2017-12-17,"Weight (Nokia)",lbs,181.471
2017-12-17,"Weight (Nokia)",lbs,181.471
2017-12-17,"Body Fat (Nokia)",%,20.677
2017-12-17,"Body Fat (Nokia)",%,20.677
2017-12-17,"Weight (Nokia)",lbs,182.585
2017-12-17,"Weight (Nokia)",lbs,182.585
2017-12-17,"Body Fat (Nokia)",%,20.297
2017-12-17,"Body Fat (Nokia)",%,20.297
2017-12-17,"Weight (Nokia)",lbs,183.802
2017-12-17,"Weight (Nokia)",lbs,183.63
2017-12-17,"Body Fat (Nokia)",%,18.249
2017-12-18,"Weight (Nokia)",lbs,180.977
2017-12-18,"Body Fat (Nokia)",%,20.697
2017-12-18,"Weight (Nokia)",lbs,180.744
2017-12-18,"Body Fat (Nokia)",%,21.919
2017-12-18,"Blood Glucose",mg/dL,111.0
2017-12-19,"Weight (Nokia)",lbs,181.346
2017-12-19,"Body Fat (Nokia)",%,21.238
2017-12-19,"Weight (Nokia)",lbs,182.699
2017-12-19,"Body Fat (Nokia)",%,19.259
2017-12-19,"Weight (Nokia)",lbs,181.176
2017-12-19,"Body Fat (Nokia)",%,20.65
2017-12-19,"Blood Glucose",mg/dL,108.0
2017-12-20,"Weight (Nokia)",lbs,179.007
2017-12-20,"Body Fat (Nokia)",%,22.119
2017-12-20,"Weight (Nokia)",lbs,179.644
2017-12-20,"Body Fat (Nokia)",%,21.427
2017-12-20,"Blood Glucose",mg/dL,121.0
2017-12-20,"Blood Glucose",mg/dL,107.0
2017-12-21,"Weight (Nokia)",lbs,178.632
2017-12-21,"Weight (Nokia)",lbs,178.259
2017-12-21,"Body Fat (Nokia)",%,21.297
2017-12-21,"Blood Glucose",mg/dL,110.0
2017-12-21,"Blood Glucose",mg/dL,104.0
2017-12-21,"Weight (Nokia)",lbs,178.832
2017-12-22,"Weight (Nokia)",lbs,176.103
2017-12-22,"Body Fat (Nokia)",%,21.958
2017-12-22,"Weight (Nokia)",lbs,176.544
2017-12-22,"Body Fat (Nokia)",%,21.341
2017-12-23,"Weight (Nokia)",lbs,178.967
2017-12-23,"Body Fat (Nokia)",%,21.631
2017-12-24,"Weight (Nokia)",lbs,179.439
2017-12-24,"Body Fat (Nokia)",%,22.054
2017-12-24,"Weight (Nokia)",lbs,180.933
2017-12-24,"Body Fat (Nokia)",%,22.164
2017-12-25,"Weight (Nokia)",lbs,179.095
2017-12-25,"Body Fat (Nokia)",%,22.478
2017-12-26,"Weight (Nokia)",lbs,180.537
2017-12-26,"Body Fat (Nokia)",%,22.152
2017-12-26,"Blood Glucose",mg/dL,106.0
2017-12-27,"Weight (Nokia)",lbs,178.017
2017-12-27,"Body Fat (Nokia)",%,23.221
2017-12-27,"Blood Glucose",mg/dL,101.0
2017-12-27,"Weight (Nokia)",lbs,177.957
2017-12-27,"Body Fat (Nokia)",%,21.593
2017-12-28,"Weight (Nokia)",lbs,179.816
2017-12-28,"Body Fat (Nokia)",%,20.843
2017-12-28,"Blood Glucose",mg/dL,109.0
2017-12-28,"Weight (Nokia)",lbs,180.356
2017-12-28,"Body Fat (Nokia)",%,21.709
2017-12-29,"Weight (Nokia)",lbs,178.281
2017-12-29,"Body Fat (Nokia)",%,22.494
2017-12-29,"Weight (Nokia)",lbs,180.988
2017-12-29,"Body Fat (Nokia)",%,19.319
2017-12-29,"Weight (Nokia)",lbs,180.812
2017-12-29,"Body Fat (Nokia)",%,20.118
2017-12-30,"Weight (Nokia)",lbs,178.098
2017-12-30,"Body Fat (Nokia)",%,20.016
2017-12-30,"Weight (Nokia)",lbs,178.391
2017-12-30,"Body Fat (Nokia)",%,21.528
2017-12-31,"Weight (Nokia)",lbs,181.709
2017-12-31,"Body Fat (Nokia)",%,21.281
2017-12-31,"Weight (Nokia)",lbs,182.364
2017-12-31,"Body Fat (Nokia)",%,20.298
2018-01-01,"Weight (Nokia)",lbs,178.865
2018-01-01,"Body Fat (Nokia)",%,22.174
2018-01-01,"Weight (Nokia)",lbs,180.226
2018-01-01,"Body Fat (Nokia)",%,21.725
2018-01-02,"Weight (Nokia)",lbs,178.178
2018-01-02,"Body Fat (Nokia)",%,22.086
2018-01-02,"Weight (Nokia)",lbs,178.319
2018-01-02,"Body Fat (Nokia)",%,20.981
2018-01-02,"Weight (Nokia)",lbs,180.819
2018-01-02,"Body Fat (Nokia)",%,18.642
2018-01-03,"Weight (Nokia)",lbs,179.004
2018-01-03,"Body Fat (Nokia)",%,21.356
2018-01-03,"Blood Glucose",mg/dL,110.0
2018-01-03,"Weight (Nokia)",lbs,180.303
2018-01-03,"Body Fat (Nokia)",%,17.693
2018-01-04,"Weight (Nokia)",lbs,177.849
2018-01-04,"Body Fat (Nokia)",%,20.206
2018-01-04,"Blood Glucose",mg/dL,99.0
2018-01-04,"Weight (Nokia)",lbs,177.205
2018-01-04,"Body Fat (Nokia)",%,21.735
2018-01-05,"Blood Glucose",mg/dL,123.0
2018-01-05,"Weight (Nokia)",lbs,175.708
2018-01-05,"Body Fat (Nokia)",%,21.317
2018-01-06,"Weight (Nokia)",lbs,178.561
2018-01-07,"Weight (Nokia)",lbs,177.73
2018-01-07,"Body Fat (Nokia)",%,21.075
2018-01-07,"Weight (Nokia)",lbs,178.572
2018-01-07,"Body Fat (Nokia)",%,20.63
2018-01-08,"Weight (Nokia)",lbs,178.533
2018-01-08,"Body Fat (Nokia)",%,21.141
2018-01-08,"Blood Glucose",mg/dL,123.0
2018-01-08,"Diastolic Blood Pressure",mmHg,100.0
2018-01-08,"Weight (Nokia)",lbs,177.951
2018-01-08,"Body Fat (Nokia)",%,21.557
2018-01-09,"Weight (Nokia)",lbs,178.44
2018-01-09,"Body Fat (Nokia)",%,20.497
2018-01-09,"Blood Glucose",mg/dL,81.0
2018-01-09,"Blood Glucose",mg/dL,87.0
2018-01-10,"Weight (Nokia)",lbs,177.565
2018-01-10,"Body Fat (Nokia)",%,21.306
2018-01-10,"Blood Glucose",mg/dL,114.0
2018-01-10,"Weight (Nokia)",lbs,177.322
2018-01-10,"Body Fat (Nokia)",%,21.857
2018-01-10,"Weight (Nokia)",lbs,177.441
2018-01-10,"Body Fat (Nokia)",%,20.525
2018-01-11,"Blood Glucose",mg/dL,103.0
2018-01-11,"Blood Glucose",mg/dL,100.0
2018-01-11,"Blood Glucose",mg/dL,109.0
2018-01-11,"Body Fat (Nokia)",%,21.305
2018-01-11,"Weight (Nokia)",lbs,175.497
2018-01-12,"Weight (Nokia)",lbs,175.576
2018-01-12,"Body Fat (Nokia)",%,21.095
2018-01-13,"Weight (Nokia)",lbs,175.801
2018-01-13,"Weight (Nokia)",lbs,175.779
2018-01-13,"Body Fat (Nokia)",%,20.23
2018-01-14,"Weight (Nokia)",lbs,177.97
2018-01-14,"Body Fat (Nokia)",%,20.947
2018-01-15,"Blood Glucose",mg/dL,112.0
2018-01-15,"Blood Glucose",mg/dL,100.0
2018-01-15,"Weight (Nokia)",lbs,180.561
2018-01-15,"Body Fat (Nokia)",%,22.075
2018-01-16,"Blood Glucose",mg/dL,102.0
2018-01-16,"Blood Glucose",mg/dL,104.0
2018-01-16,"Weight (Nokia)",lbs,178.87
2018-01-16,"Body Fat (Nokia)",%,20.941
2018-01-17,"Blood Glucose",mg/dL,124.0
2018-01-17,"Weight (Nokia)",lbs,178.588
2018-01-17,"Body Fat (Nokia)",%,21.492
2018-01-17,"Blood Glucose",mg/dL,124.0
2018-01-19,"Blood Glucose",mg/dL,93.0
2018-01-19,"Weight (Nokia)",lbs,178.735
2018-01-19,"Body Fat (Nokia)",%,17.897
2018-01-19,"Blood Glucose",mg/dL,93.0
2018-01-20,"Weight (Nokia)",lbs,177.47
2018-01-20,"Weight (Nokia)",lbs,177.849
2018-01-20,"Body Fat (Nokia)",%,19.685
2018-01-20,"Body Fat (Nokia)",%,18.366
2018-01-21,"Weight (Nokia)",lbs,180.501
2018-01-21,"Body Fat (Nokia)",%,19.811
2018-01-21,"Weight (Nokia)",lbs,177.346
2018-01-21,"Body Fat (Nokia)",%,20.449
2018-01-22,"Weight (Nokia)",lbs,177.36
2018-01-22,"Body Fat (Nokia)",%,19.515
2018-01-23,"Body Fat (Nokia)",%,17.953
2018-01-23,"Weight (Nokia)",lbs,176.491
2018-01-23,"Body Fat (Nokia)",%,20.698
2018-01-23,"Blood Glucose",mg/dL,106.0
2018-01-23,"Blood Glucose",mg/dL,102.0
2018-01-24,"Body Fat (Nokia)",%,20.567
2018-01-24,"Weight (Nokia)",lbs,176.866
2018-01-25,"Weight (Nokia)",lbs,176.068
2018-01-25,"Body Fat (Nokia)",%,10.255
2018-01-26,"Weight (Nokia)",lbs,175.724
2018-01-26,"Body Fat (Nokia)",%,10.062
2018-01-27,"Weight (Nokia)",lbs,176.125
2018-01-27,"Body Fat (Nokia)",%,9.826
2018-01-28,"Weight (Nokia)",lbs,175.29
2018-01-28,"Body Fat (Nokia)",%,9.747
2018-01-29,"Weight (Nokia)",lbs,178.638
2018-01-29,"Body Fat (Nokia)",%,20.412
2018-01-29,"Weight (Nokia)",lbs,177.939
2018-01-29,"Body Fat (Nokia)",%,20.84
2018-01-29,"Blood Glucose",mg/dL,103.0
2018-01-29,"Blood Glucose",mg/dL,95.0
2018-01-30,"Weight (Nokia)",lbs,176.939
2018-01-30,"Body Fat (Nokia)",%,20.447
2018-01-31,"Weight (Nokia)",lbs,176.623
2018-01-31,"Body Fat (Nokia)",%,20.595
2018-02-01,"Weight (Nokia)",lbs,177.208
2018-02-01,"Body Fat (Nokia)",%,20.702
2018-02-02,"Weight (Nokia)",lbs,176.8
2018-02-02,"Body Fat (Nokia)",%,20.5
2018-02-03,"Weight (Nokia)",lbs,175.387
2018-02-03,"Body Fat (Nokia)",%,19.119
2018-02-04,"Weight (Nokia)",lbs,176.729
2018-02-04,"Body Fat (Nokia)",%,20.533
2018-02-05,"Blood Glucose",mg/dL,121.0
2018-02-05,"Weight (Nokia)",lbs,176.606
2018-02-05,"Body Fat (Nokia)",%,21.933
2018-02-06,"Weight (Nokia)",lbs,175.466
2018-02-06,"Body Fat (Nokia)",%,19.651
2018-02-07,"Blood Glucose",mg/dL,111.0
2018-02-07,"Weight (Nokia)",lbs,177.022
2018-02-07,"Body Fat (Nokia)",%,19.814
2018-02-08,"Weight (Nokia)",lbs,176.2
2018-02-08,"Body Fat (Nokia)",%,20.382
2018-02-09,"Weight (Nokia)",lbs,174.167
2018-02-09,"Body Fat (Nokia)",%,21.114
2018-02-10,"Weight (Nokia)",lbs,176.326
2018-02-10,"Body Fat (Nokia)",%,20.018
2018-02-11,"Weight (Nokia)",lbs,176.156
2018-02-11,"Body Fat (Nokia)",%,21.401
2018-02-12,"Blood Glucose",mg/dL,109.0
2018-02-12,"Weight (Nokia)",lbs,177.287
2018-02-12,"Body Fat (Nokia)",%,21.575
2018-02-13,"Blood Glucose",mg/dL,120.0
2018-02-13,"Blood Glucose",mg/dL,113.0
2018-02-13,"Weight (Nokia)",lbs,174.588
2018-02-13,"Body Fat (Nokia)",%,20.558
2018-02-14,"Blood Glucose",mg/dL,96.0
2018-02-14,"Weight (Nokia)",lbs,174.148
2018-02-14,"Body Fat (Nokia)",%,20.622
2018-02-15,"Blood Glucose",mg/dL,94.0
2018-02-15,"Weight (Nokia)",lbs,174.494
2018-02-15,"Body Fat (Nokia)",%,19.091
2018-02-16,"Weight (Nokia)",lbs,174.652
2018-02-16,"Body Fat (Nokia)",%,18.997
2018-02-17,"Weight (Nokia)",lbs,177.626
2018-02-17,"Body Fat (Nokia)",%,19.039
2018-02-18,"Weight (Nokia)",lbs,175.124
2018-02-18,"Body Fat (Nokia)",%,19.022
2018-02-19,"Weight (Nokia)",lbs,173.623
2018-02-19,"Body Fat (Nokia)",%,20.57
2018-02-20,"Blood Glucose",mg/dL,113.0
2018-02-20,"Weight (Nokia)",lbs,172.626
2018-02-20,"Body Fat (Nokia)",%,18.761
2018-02-21,"Blood Glucose",mg/dL,113.0
2018-02-21,"Weight (Nokia)",lbs,175.245
2018-02-21,"Body Fat (Nokia)",%,15.738
2018-02-21,"Weight (Nokia)",lbs,173.616
2018-02-21,"Body Fat (Nokia)",%,19.403
2018-02-22,"Weight (Nokia)",lbs,172.776
2018-02-22,"Body Fat (Nokia)",%,19.714
2018-02-22,"Blood Glucose",mg/dL,112.0
2018-02-22,"Blood Glucose",mg/dL,94.0
2018-02-23,"Weight (Nokia)",lbs,173.003
2018-02-23,"Body Fat (Nokia)",%,19.994
2018-02-24,"Weight (Nokia)",lbs,172.551
2018-02-24,"Body Fat (Nokia)",%,21.369
2018-02-25,"Weight (Nokia)",lbs,172.086
